Frame,Mean
1,9760.103
2,8460.063
3,8903.574
4,9640.582
5,9527.985
6,9416.685
7,9128.319
8,8461.429
9,8616.113
10,8618.872
11,8230.400
12,8273.032
13,8197.255
14,8341.195
15,8302.755
16,8019.709
17,8759.198
18,8588.500
19,8130.394
20,9034.585
21,8699.312
22,8095.046
23,8751.333
24,8515.476
25,8018.450
26,8329.397
27,8188.298
28,8033.167
29,8296.876
30,8243.642
31,8140.447
32,8374.341
33,8334.011
34,8409.302
35,8550.050
36,8526.351
37,8585.745
38,8855.571
39,8738.770
40,8701.543
41,9134.457
42,8994.273
43,8601.734
44,9290.500
45,9186.617
46,8526.989
47,9192.348
48,9070.237
49,8381.511
50,8858.259
51,8740.351
52,8352.535
53,8296.397
54,8304.717
55,8347.259
56,7889.280
57,7949.358
58,8247.561
59,7582.915
60,7650.397
61,7924.961
62,7578.429
63,7609.511
64,7736.557
65,7649.113
66,7671.142
67,7702.149
68,7907.266
69,7993.862
70,7986.298
71,8089.103
72,8123.245
73,8206.276
74,7993.096
75,8145.550
76,8376.656
77,8056.390
78,8231.454
79,8488.479
80,8036.397
81,8106.734
82,8127.670
83,8219.291
84,8192.794
85,8222.106
86,8439.209
87,8401.550
88,8324.276
89,8773.872
90,8808.691
91,8923.894
92,9254.266
93,9324.521
94,9346.485
95,9666.291
96,9656.344
97,9702.178
98,9749.380
99,9686.220
100,9588.117
101,9844.535
102,9715.518
103,9379.100
104,9775.106
105,9588.000
106,9184.089
107,9620.468
108,9523.720
109,9238.376
110,9416.046
111,9360.082
112,9119.319
113,9055.206
114,9084.571
115,9018.319
116,8721.241
117,8828.188
118,8869.872
119,8490.387
120,8505.972
121,8543.404
122,8349.759
123,8241.822
124,8122.124
125,8074.564
126,7974.379
127,7767.908
128,7858.901
129,7836.624
130,7809.968
131,7835.652
132,7956.883
133,8161.032
134,8008.652
135,8222.309
136,8772.146
137,8400.776
138,8576.007
139,9233.603
140,8845.011
141,9046.869
142,9839.106
143,9288.174
144,9497.224
145,9972.266
146,9374.046
147,9529.489
148,9982.972
149,9343.734
150,9528.348
151,9904.227
152,9227.128
153,9439.270
154,9714.841
155,9287.354
156,9477.631
157,9557.046
158,9284.110
159,9377.400
160,9063.443
161,9528.496
162,9395.135
163,8813.117
164,9695.815
165,9324.422
166,8703.341
167,9835.294
168,9282.422
169,8716.685
170,9789.443
171,9248.972
172,8773.904
173,9420.770
174,9079.418
175,8825.515
176,8991.319
177,8794.911
178,8873.096
179,8583.322
180,8603.082
181,9005.759
182,8229.563
183,8537.493
184,9180.546
185,8052.188
186,8511.465
187,9353.880
188,8153.582
189,8645.117
190,9366.918
191,8251.887
192,8580.876
193,9069.418
194,8357.213
195,8649.383
196,8943.908
197,8411.745
198,8602.443
199,8582.397
200,8690.354
201,8691.128
202,8559.890
203,8809.854
204,8715.809
205,8413.656
206,8813.209
207,8639.248
208,8308.748
209,8804.883
210,8757.830
211,8314.252
212,8833.354
213,8825.759
214,8490.344
