Frame,Mean
1,12257.926
2,11662.631
3,11493.117
4,11607.322
5,11836.465
6,12258.787
7,12610.737
8,11732.485
9,11286.500
10,11560.791
11,11484.411
12,11746.383
13,11816.163
14,11732.557
15,11528.894
16,10998.685
17,11051.276
18,11541.113
19,11282.908
20,11364.571
21,11422.245
22,11428.926
23,11636.741
24,11457.341
25,11210.139
26,11126.074
27,11472.826
28,11171.198
29,11472.163
30,11206.411
31,11843.904
32,11454.922
33,11470.287
34,11182.092
35,11606.376
36,11744.139
37,12148.230
38,12304.976
39,12021.773
40,11626.603
41,11903.543
42,11793.294
43,11956.752
44,11597.089
45,11440.415
46,10780.188
47,11176.926
48,11281.691
49,10782.287
50,11203.521
51,10825.227
52,11219.841
53,11235.848
54,11958.620
55,11723.315
56,11790.159
57,11817.361
58,11989.365
59,11775.128
60,11401.706
61,11361.206
62,10920.596
63,11138.298
64,10516.989
65,11233.415
66,11528.918
67,10973.667
68,11858.351
69,11629.929
70,11491.422
71,11046.926
72,10754.043
73,11133.429
74,11499.659
75,12135.926
76,11829.741
77,11667.518
78,11250.241
79,11346.582
80,11658.815
81,11302.511
82,11646.415
83,11747.411
84,11925.688
85,11883.482
86,11451.783
87,11223.763
88,11048.702
89,11362.482
90,11383.273
91,11390.489
92,11778.741
93,11765.745
94,12219.063
95,11354.015
96,11634.780
97,11196.224
98,12023.457
99,12060.007
100,11446.472
101,11381.426
102,11732.603
103,11398.766
104,11048.543
105,11081.947
106,11648.159
107,11672.113
108,12075.663
109,11566.695
110,12380.230
111,11708.479
112,12142.709
113,11327.100
114,11993.972
115,12039.365
116,11410.734
117,11044.706
118,11580.794
119,11716.613
120,11455.957
121,11259.734
122,11492.354
123,11862.887
124,11713.159
125,11564.131
126,11882.589
127,12043.276
128,12307.706
129,11910.734
130,11536.124
131,11520.465
132,11439.018
133,11323.649
134,10755.922
135,11507.142
136,11719.667
137,11195.748
138,11139.344
139,12137.603
140,11967.273
141,11885.468
142,12086.915
143,12418.071
144,11652.805
145,11496.053
146,11592.890
147,11903.106
148,11864.617
149,11275.717
150,11766.283
151,11697.433
152,11900.848
153,11443.815
154,11977.142
155,10910.872
156,11532.213
157,11062.937
158,11766.805
159,11761.592
160,11724.326
161,11386.890
162,11340.957
163,11586.341
164,11848.979
165,11338.674
166,11695.276
167,12175.202
168,12192.613
169,12174.861
170,11909.252
171,11494.110
172,11523.139
173,12043.100
174,11281.476
175,11322.649
176,11569.408
177,11266.113
178,10619.730
179,10756.007
180,11323.287
181,11880.472
182,11179.330
183,11226.805
184,11726.646
185,12163.745
186,12305.745
187,12110.610
188,11770.805
189,11757.447
190,11071.993
191,10893.737
192,11047.465
193,12205.433
194,11609.167
195,11641.524
196,11368.606
197,12286.574
198,11660.315
199,11808.745
200,11431.468
201,11473.670
202,10744.263
203,10750.167
204,10654.294
205,11575.563
206,12050.543
207,12145.011
208,11677.188
209,11713.443
210,11037.688
211,11391.809
212,11895.563
213,12151.454
214,11419.656
215,11197.273
216,11845.074
217,12544.635
218,11996.773
219,11407.178
220,11027.979
221,11278.333
222,11366.142
223,11698.217
224,12226.380
225,13600.322
226,13499.337
227,12327.685
228,11687.915
229,11067.830
230,11361.351
231,11768.298
232,11026.734
233,12313.543
234,12414.620
235,12613.457
236,11342.465
237,10984.241
238,11097.553
239,11479.670
240,11005.985
241,11435.443
242,11492.950
243,11918.713
244,11991.426
245,11639.220
246,11886.283
247,12136.979
248,11170.819
249,11284.348
250,11527.833
251,13327.646
252,12957.985
253,12595.067
254,12019.159
255,11718.915
256,10821.198
257,10925.528
258,10751.965
259,12095.096
260,12147.933
261,12395.702
262,11849.422
263,11785.798
264,11426.369
265,11424.624
266,11162.979
267,11018.302
268,11522.515
269,11514.089
270,11892.603
271,11687.972
272,11962.078
273,11731.993
274,11526.841
275,11532.826
276,11459.659
277,11469.802
278,11638.234
279,12118.976
280,12305.603
281,11929.989
282,11737.947
283,12020.110
284,11888.890
285,11291.563
286,11245.110
287,11333.266
288,11242.354
289,11873.854
290,11170.152
291,11570.110
292,11209.642
293,11573.770
294,10913.259
295,11527.117
296,11646.433
297,11946.539
298,12169.383
299,12418.709
300,12430.450
301,12604.659
302,12258.263
303,11705.524
304,11796.263
305,11750.794
306,11992.255
307,11711.954
308,11897.273
309,11825.255
310,11732.276
311,11201.195
312,11437.309
313,11563.613
314,12071.422
315,12317.482
316,12489.437
317,12778.383
318,11781.937
319,12473.255
320,11571.156
321,11086.358
322,10837.563
323,11482.128
324,11810.124
325,11620.465
326,12810.613
327,12838.968
328,12235.748
329,12734.713
330,11694.178
331,12121.724
332,11733.344
333,11746.280
334,11408.400
335,11801.124
336,12304.883
337,12422.128
338,11418.876
339,11386.170
340,11595.546
341,12690.961
342,12841.078
343,11639.861
344,12110.567
345,12343.656
346,12577.418
347,12004.124
348,11908.812
349,11525.163
350,11960.217
351,11349.521
352,11400.535
353,12262.890
354,12160.585
355,12453.635
356,11892.209
357,11801.553
358,13385.791
359,12386.131
360,11862.067
361,11082.224
362,12191.110
363,11679.011
364,11850.755
365,12242.833
366,11284.734
367,10962.078
368,11220.649
369,11185.730
370,11081.546
371,11257.117
372,11929.280
373,12150.106
374,12018.635
375,11466.110
376,11791.437
377,12123.447
378,12084.404
379,11470.880
380,12519.046
381,13082.046
382,11871.344
383,12347.146
384,11904.507
385,11174.894
386,11241.890
387,10648.063
388,11162.394
389,11692.315
390,13468.376
391,13677.113
392,12990.337
393,11843.103
394,11806.245
395,11851.911
396,11811.748
397,11776.206
398,11206.822
399,11628.567
400,12092.585
401,11525.841
402,11909.737
403,11995.493
404,12109.802
405,11745.943
406,11526.500
407,12817.929
408,12906.620
409,12597.032
410,12050.880
411,11959.965
412,11388.146
413,11590.061
414,11704.465
415,14372.146
416,12859.489
417,12956.524
418,11791.106
419,12470.759
420,12014.217
421,11736.372
422,11437.035
423,11564.241
424,11890.628
425,12061.117
426,11763.582
427,11764.074
428,11745.610
429,11874.798
430,11776.543
431,11652.468
432,11322.454
433,11974.117
434,12083.819
435,12832.354
436,12217.372
437,12115.865
438,11280.571
439,11629.659
440,12097.465
441,11662.546
442,11690.976
443,12186.035
444,11886.170
445,11825.344
446,11206.926
447,11047.394
448,11469.344
449,12446.773
450,11770.213
451,11626.015
452,11174.291
453,11433.695
454,11470.620
455,11782.937
456,12465.500
457,12938.841
458,11905.628
459,11217.479
460,11342.844
461,12542.354
462,12599.972
463,12014.713
464,12714.411
465,12079.826
466,12050.178
467,11649.709
468,11627.539
469,12187.950
470,12152.646
471,12026.681
472,11538.237
473,12090.341
474,12217.315
475,12140.585
476,12039.178
477,11718.937
478,10948.802
479,11333.515
480,13091.709
481,13975.663
482,13648.078
483,13297.755
484,12442.770
485,11719.429
486,11505.500
487,11350.322
488,11567.624
489,11174.344
490,11513.848
491,11880.263
492,12710.937
493,12115.170
494,12112.681
495,11375.220
496,10953.053
497,10517.142
498,11214.252
499,11130.241
500,12501.830
501,14794.553
502,15042.504
503,13085.993
504,11970.302
505,11731.642
506,12385.603
507,12338.433
508,11707.032
509,11814.897
510,12202.642
511,11818.776
512,11607.996
513,11451.600
514,11472.124
515,11785.018
516,12029.206
517,12733.181
518,11700.787
519,11457.000
520,11716.007
521,12613.979
522,11708.287
523,11262.713
524,12265.461
525,11533.174
526,12025.213
527,12279.550
528,12099.103
529,11522.861
530,11424.922
531,10959.433
532,11114.535
533,11307.702
534,11478.390
535,11771.380
536,12712.457
537,13574.372
538,12955.092
539,11750.018
540,11551.139
541,11527.685
542,12181.900
543,12090.351
544,12883.755
545,12448.646
546,12800.302
547,12539.989
548,11925.369
549,11799.028
550,11787.535
551,12808.678
552,12612.709
553,12748.489
554,12294.702
555,12136.447
556,11685.535
557,11766.305
558,11647.209
559,11248.341
560,11107.841
561,11589.050
562,12936.826
563,12411.004
564,12627.103
565,12756.028
566,13271.415
567,12170.578
568,12279.429
569,11898.089
570,11619.900
571,11531.032
572,13542.457
573,14169.298
574,13745.465
575,13015.841
576,12227.681
577,12016.354
578,11581.681
579,11738.741
580,11488.131
581,12731.142
582,14833.185
583,15960.670
584,12990.476
585,12336.610
586,12005.057
587,12687.989
588,12070.333
589,12162.206
590,12746.057
591,12729.213
592,11763.404
593,11687.745
594,11919.656
595,12284.929
596,11929.883
597,11397.387
598,11142.028
599,11913.170
600,12322.035
601,12651.348
602,12620.670
603,12480.217
604,11665.245
605,11346.000
606,10943.532
607,10687.652
608,11279.702
609,13290.032
610,13612.809
611,13040.369
612,12483.309
613,12149.493
614,12315.178
615,11738.326
616,11691.411
617,12331.521
618,12643.876
619,12218.043
620,12485.426
621,12369.872
622,11851.255
623,11729.783
624,13336.518
625,12279.724
626,13814.035
627,13153.830
628,11835.965
629,12479.730
630,12300.635
631,12430.053
632,12390.939
633,11348.202
634,10799.713
635,11364.589
636,11925.131
637,12218.979
638,11855.227
639,12747.287
640,12691.447
641,12153.092
642,11564.053
643,11443.159
644,11477.546
645,13524.620
646,13933.861
647,13487.603
648,12824.929
649,11547.337
650,11870.826
651,11874.872
652,12146.273
653,12185.911
654,12255.698
655,11393.255
656,11902.989
657,12528.206
658,13202.539
659,11576.685
660,11566.135
661,10948.724
662,12825.152
663,12609.152
664,12332.628
665,12874.635
666,13634.734
667,13316.496
668,12176.730
669,15242.273
670,12530.610
671,14338.518
672,13621.724
673,11966.830
674,12514.780
675,12338.291
676,12403.333
677,13003.628
678,12139.063
679,12011.582
680,11816.592
681,11825.695
682,11233.539
683,12328.631
684,12928.887
685,12562.018
686,12194.652
687,11800.900
688,11617.447
689,11534.553
690,11665.865
691,11727.631
692,12788.528
693,12949.337
694,12312.798
695,11573.755
696,10605.961
697,11250.993
698,11568.117
699,11256.858
700,11795.110
701,11465.312
702,16523.947
703,16477.199
704,15285.139
705,12811.004
706,11424.617
707,11772.496
708,12092.606
709,12009.880
710,11962.543
711,12940.798
712,12858.206
713,12612.283
714,11925.198
715,12040.167
716,12369.929
717,11835.957
718,12260.237
719,12040.603
720,14959.220
721,14681.397
722,13336.021
723,12050.255
724,12256.837
725,13048.004
726,13205.496
727,13899.341
728,14327.287
729,13522.273
730,12480.468
731,12480.557
732,11428.376
733,11493.302
734,11644.043
735,11908.809
736,12068.798
737,11540.819
738,11960.805
739,12389.546
740,12154.220
741,11908.745
742,11615.439
743,11251.202
744,11386.954
745,11715.685
746,12235.106
747,13014.763
748,13212.361
749,11753.447
750,11756.344
751,12447.937
752,12845.354
753,12435.830
754,12201.791
755,12805.724
756,13397.437
757,12658.113
758,12099.624
759,12491.600
760,12493.018
761,12558.698
762,11707.553
763,11831.943
764,12866.982
765,13368.841
766,12557.312
767,11825.737
768,11721.550
769,13085.354
770,13341.976
771,12039.217
