[micron],Mean
0,1231.171
1,1236.108
2,1242.911
3,1251.268
4,1243.128
5,1241.679
6,1240.658
7,1234.618
8,1234.265
9,1235.190
10,1235.123
11,1242.030
12,1246.704
13,1245.387
14,1249.074
15,1251.414
16,1253.031
17,1257.444
18,1260.620
19,1258.191
20,1254.464
21,1250.961
22,1247.994
23,1247.026
24,1242.217
25,1246.558
26,1247.518
27,1247.639
28,1253.414
29,1259.165
30,1260.003
31,1265.992
32,1270.868
33,1271.326
34,1277.406
35,1282.632
36,1285.086
37,1287.960
38,1290.200
39,1292.503
40,1290.203
41,1292.220
42,1294.807
43,1291.046
44,1292.548
45,1290.171
46,1282.537
47,1288.036
48,1282.400
49,1272.187
50,1278.068
51,1272.363
52,1262.249
53,1266.683
54,1261.751
55,1253.232
56,1254.941
57,1254.527
58,1250.359
59,1249.543
60,1253.499
61,1251.786
62,1247.618
63,1255.509
64,1256.467
65,1255.939
66,1260.052
67,1261.029
68,1262.882
69,1263.601
70,1260.828
71,1267.058
72,1262.505
73,1258.700
74,1263.327
75,1258.465
76,1251.192
77,1257.205
78,1251.620
79,1246.473
80,1250.776
81,1248.948
82,1247.537
83,1252.784
84,1250.080
85,1249.967
86,1257.490
87,1258.701
88,1261.582
89,1272.371
90,1274.860
91,1281.453
92,1295.091
93,1302.648
94,1308.950
95,1319.677
96,1325.988
97,1329.980
98,1338.879
99,1336.764
100,1335.385
101,1338.452
102,1327.794
103,1325.011
104,1326.280
105,1309.574
106,1306.844
107,1303.775
108,1289.261
109,1290.603
110,1286.715
111,1280.607
112,1282.347
113,1278.125
114,1275.901
115,1274.453
116,1270.995
117,1268.721
118,1263.762
119,1260.998
120,1255.441
121,1252.925
122,1250.930
123,1248.259
124,1249.054
125,1248.179
126,1249.024
127,1252.812
128,1252.658
129,1254.761
130,1256.215
131,1258.456
132,1261.591
133,1257.814
134,1262.125
135,1260.988
136,1254.981
137,1258.591
138,1257.089
139,1251.400
140,1254.210
141,1252.753
142,1250.513
143,1254.089
144,1256.468
145,1258.025
146,1261.852
147,1265.385
148,1271.254
149,1275.259
150,1276.857
151,1280.304
152,1283.404
153,1280.128
154,1281.371
155,1282.967
156,1275.012
157,1273.773
158,1276.089
159,1271.196
160,1269.808
161,1274.094
162,1276.383
163,1273.277
164,1279.939
165,1286.059
166,1286.483
167,1292.635
168,1294.370
169,1294.538
170,1298.087
171,1297.084
172,1299.562
173,1299.565
174,1293.782
175,1294.180
176,1293.388
177,1289.262
178,1286.638
179,1285.363
180,1286.214
181,1280.647
182,1278.625
183,1280.953
184,1272.676
185,1270.827
186,1270.700
187,1261.087
188,1263.628
189,1264.718
190,1258.430
191,1267.129
192,1270.953
193,1266.065
194,1277.420
195,1287.431
196,1287.762
197,1301.574
198,1308.169
199,1310.212
200,1321.970
201,1327.518
202,1330.559
203,1340.967
204,1334.133
205,1333.371
206,1342.446
207,1332.891
208,1331.620
209,1339.672
210,1332.913
211,1330.901
212,1334.884
213,1330.816
214,1331.004
215,1332.730
