[micron],Mean
0,2385.524
1,2375.660
2,2385.114
3,2382.845
4,2377.014
5,2311.131
6,2290.027
7,2315.779
8,2385.721
9,2395.060
10,2443.414
11,2393.469
12,2391.630
13,2330.618
14,2384.099
15,2348.706
16,2481.144
17,2441.708
18,2409.964
19,2367.868
20,2364.245
21,2366.093
22,2400.047
23,2431.286
24,2403.294
25,2401.278
26,2310.957
27,2352.317
28,2375.538
29,2392.176
30,2365.760
31,2477.057
32,2548.369
33,2471.389
34,2496.350
35,2476.737
36,2527.335
37,2432.011
38,2397.369
39,2415.502
40,2624.656
41,2564.650
42,2549.356
43,2501.322
44,2527.114
45,2489.275
46,2427.371
47,2406.321
48,2459.528
49,2454.778
50,2499.024
51,2379.767
52,2362.014
53,2397.142
54,2365.957
55,2425.173
56,2467.959
57,2458.739
58,2445.810
59,2405.851
60,2398.554
61,2438.247
62,2381.229
63,2363.500
64,2377.743
65,2343.329
66,2374.490
67,2417.286
68,2483.263
69,2504.072
70,2552.451
71,2514.050
72,2424.565
73,2397.848
74,2424.850
75,2364.092
76,2378.970
77,2243.657
78,2323.545
79,2385.388
80,2393.018
81,2409.653
82,2371.260
83,2424.125
84,2451.425
85,2464.536
86,2448.113
87,2351.121
88,2366.844
89,2401.789
90,2389.428
91,2355.474
92,2369.423
93,2449.856
94,2538.995
95,2627.947
96,2658.547
97,2691.686
98,2580.565
99,2572.375
100,2564.938
101,2602.789
102,2499.834
103,2413.293
104,2411.915
105,2342.859
106,2372.386
107,2433.537
108,2425.497
109,2510.709
110,2446.434
111,2443.607
112,2509.621
113,2464.160
114,2439.809
115,2441.044
116,2360.857
117,2378.007
118,2306.405
119,2383.750
120,2349.198
121,2386.323
122,2331.454
123,2344.479
124,2402.906
125,2368.474
126,2305.983
127,2293.558
128,2328.507
129,2398.953
130,2481.593
131,2431.471
132,2454.899
133,2430.666
134,2385.350
135,2387.323
136,2345.425
137,2381.097
138,2370.972
139,2385.802
140,2372.766
141,2307.617
142,2407.726
143,2265.677
144,2261.824
145,2257.996
146,2353.254
147,2409.914
148,2447.635
149,2499.316
150,2468.234
151,2509.898
152,2398.322
153,2387.305
154,2425.985
155,2445.145
156,2362.449
157,2315.680
158,2337.637
159,2352.853
160,2335.745
161,2346.240
162,2371.549
163,2418.169
164,2471.654
165,2527.807
166,2432.722
167,2439.441
168,2514.308
169,2645.481
170,2545.650
171,2447.764
172,2447.959
173,2349.674
174,2385.347
175,2335.719
176,2433.398
177,2396.937
178,2455.650
179,2477.181
180,2423.468
181,2516.655
182,2354.023
183,2453.007
184,2353.068
185,2402.980
186,2335.981
187,2396.747
188,2414.989
189,2307.953
190,2313.927
191,2295.583
192,2385.325
193,2384.487
194,2411.828
195,2329.258
196,2368.896
197,2398.408
198,2581.692
199,2679.351
200,2645.676
201,2548.945
202,2517.492
203,2499.675
204,2407.732
205,2466.847
206,2565.910
207,2525.656
208,2585.688
209,2459.818
210,2469.113
211,2409.944
212,2508.402
213,2459.773
214,2531.385
215,2523.556
216,2472.153
217,2563.638
218,2533.011
219,2545.680
220,2435.312
221,2456.599
222,2386.197
223,2472.657
224,2607.037
225,2571.374
226,2492.664
227,2429.577
228,2341.127
229,2391.170
230,2345.106
231,2404.816
232,2414.863
233,2516.993
234,2464.662
235,2454.219
236,2437.885
237,2505.640
238,2532.019
239,2482.875
240,2437.353
241,2426.381
242,2506.080
243,2514.953
244,2524.820
245,2504.848
246,2444.163
247,2461.161
248,2454.272
249,2565.547
250,2535.425
251,2524.655
252,2418.957
253,2435.904
254,2491.363
255,2504.731
256,2510.576
257,2412.466
258,2381.792
259,2431.900
260,2486.124
261,2459.655
262,2450.207
263,2441.606
264,2415.693
265,2404.505
266,2327.455
267,2414.796
268,2417.663
269,2572.032
270,2532.240
271,2594.518
272,2473.415
273,2481.534
274,2446.886
275,2475.009
276,2518.934
277,2535.697
278,2570.914
279,2457.571
280,2521.883
281,2463.286
282,2540.885
283,2529.437
284,2470.962
285,2408.518
286,2429.900
287,2584.943
288,2604.621
289,2679.490
290,2604.862
291,2496.724
292,2475.432
293,2328.612
294,2309.267
295,2287.439
296,2443.354
297,2416.541
298,2455.356
299,2430.611
300,2371.324
301,2438.699
302,2376.771
303,2527.217
304,2552.347
305,2586.708
306,2492.093
307,2529.487
308,2573.510
309,2633.000
310,2619.926
311,2546.656
312,2396.334
313,2407.906
314,2399.404
315,2516.302
316,2603.734
317,2536.962
318,2411.876
319,2420.556
320,2477.552
321,2449.312
322,2516.409
323,2545.334
324,2461.246
325,2498.314
326,2458.513
327,2478.340
328,2530.961
329,2417.937
330,2394.338
331,2350.606
332,2433.750
333,2368.931
334,2456.924
335,2532.505
336,2551.722
337,2601.994
338,2541.440
339,2518.948
340,2446.637
341,2531.503
342,2450.260
343,2571.347
344,2569.895
345,2577.674
346,2538.293
347,2560.554
348,2510.017
349,2461.903
350,2511.864
351,2515.356
352,2696.772
353,2792.324
354,2779.564
355,2698.286
356,2673.415
357,2560.656
358,2502.760
359,2536.032
360,2596.878
361,2649.646
362,2726.484
363,2658.154
364,2645.269
365,2520.249
366,2436.216
367,2472.898
368,2579.192
369,2587.150
370,2534.619
371,2554.618
372,2516.558
373,2578.147
374,2547.879
375,2656.822
376,2634.641
377,2540.617
378,2482.191
379,2409.893
380,2514.068
381,2590.604
382,2584.415
383,2634.353
384,2480.805
385,2610.566
386,2501.824
387,2689.117
388,2656.964
389,2758.290
390,2645.194
391,2718.021
392,2606.520
393,2663.109
394,2655.309
395,2599.670
396,2568.899
397,2456.325
398,2537.376
399,2499.673
400,2585.302
