Frame,Mean
1,50770.547
2,50784.480
3,50795.926
4,50808.480
5,50804.668
6,50798.512
7,50786.445
8,50794.180
9,50798.746
10,50795.738
11,50811.461
12,50819.348
13,50818.246
14,50825.492
15,50822.887
16,50816.078
17,50812.395
18,50803.055
19,50792.066
20,50783.246
21,50769.762
22,50766.027
23,50756.859
24,50749.605
25,50751.379
26,50748.285
27,50746.188
28,50754.012
29,50753.422
30,50754.879
31,50761.480
32,50759.266
33,50761.512
34,50765.980
35,50765.633
36,50764.246
37,50763.559
38,50760.559
39,50752.914
40,50743.125
41,50733.348
42,50719.367
43,50702.238
44,50687.727
45,50671.828
46,50649.926
47,50637.660
48,50628.020
49,50618.422
50,50613.434
51,50610.691
52,50612.539
53,50615.738
54,50618.809
55,50628.680
56,50635.473
57,50638.781
58,50646.254
59,50649.320
60,50652.039
61,50651.734
62,50649.352
63,50652.328
64,50644.867
65,50643.812
66,50652.707
67,50646.047
68,50645.660
69,50657.379
70,50658.461
71,50668.867
72,50679.199
73,50689.055
74,50700.133
75,50702.785
76,50714.480
77,50728.480
78,50727.574
79,50742.555
80,50754.215
81,50754.340
82,50763.086
83,50769.426
84,50776.020
85,50789.340
86,50800.188
87,50822.281
88,50833.766
89,50846.078
90,50869.574
91,50885.133
92,50901.906
93,50919.102
94,50923.465
95,50930.379
96,50930.762
97,50929.188
98,50931.879
99,50924.727
100,50911.234
101,50903.773
102,50887.707
103,50868.461
104,50850.922
105,50831.426
106,50811.020
107,50788.680
108,50775.426
109,50759.613
110,50741.762
111,50732.312
112,50723.926
113,50711.074
114,50706.348
115,50704.586
116,50696.168
117,50694.812
118,50696.500
119,50693.898
120,50691.672
121,50693.395
122,50695.152
123,50696.453
124,50697.172
125,50704.727
126,50706.426
127,50705.812
128,50711.879
129,50719.535
130,50727.160
131,50737.879
132,50749.102
133,50765.566
134,50774.926
135,50789.105
136,50812.012
137,50829.441
138,50842.555
139,50864.992
140,50884.973
141,50902.141
142,50924.141
143,50945.691
144,50962.559
145,50973.379
146,50990.266
147,51006.934
148,51020.520
149,51030.941
150,51039.973
151,51047.660
152,51051.793
153,51056.215
154,51066.148
155,51064.992
156,51063.578
157,51064.520
158,51060.605
159,51058.625
160,51050.152
161,51039.613
162,51031.754
163,51012.680
164,50995.566
165,50979.207
166,50954.980
167,50933.781
168,50910.621
169,50887.086
170,50867.680
171,50843.359
172,50824.766
173,50811.840
174,50790.941
175,50785.574
176,50782.012
177,50772.340
178,50780.094
179,50792.754
180,50802.113
181,50829.406
182,50859.648
183,50891.113
184,50925.488
185,50969.520
186,51018.648
187,51060.113
188,51103.535
189,51152.848
190,51179.828
191,51205.992
192,51241.180
193,51251.480
194,51254.219
195,51267.047
196,51260.027
197,51242.859
198,51229.641
199,51210.426
200,51179.141
201,51147.414
202,51121.906
203,51098.102
204,51068.773
205,51046.281
206,51033.141
207,51011.895
208,50994.738
209,50991.426
210,50980.086
211,50970.508
212,50973.359
213,50974.500
214,50973.102
215,50982.367
216,50988.309
217,50996.301
218,51002.727
219,51013.066
220,51020.500
221,51024.141
222,51029.648
223,51037.379
224,51034.191
225,51034.512
226,51034.934
227,51028.613
228,51026.141
229,51021.840
230,51011.688
231,51004.152
232,51001.691
233,50994.414
234,50991.434
235,50991.781
236,50991.738
237,50997.887
238,51007.426
239,51021.934
240,51038.715
241,51054.191
242,51076.219
243,51098.941
244,51115.605
245,51142.445
246,51158.605
247,51167.168
248,51179.945
249,51186.715
250,51185.285
251,51192.766
252,51190.055
253,51185.727
254,51174.887
255,51160.008
256,51150.188
257,51141.215
258,51129.234
259,51121.852
260,51117.914
261,51112.039
262,51116.621
263,51123.273
264,51128.719
265,51135.594
266,51148.219
267,51158.039
268,51170.766
269,51181.168
270,51195.453
271,51205.973
272,51218.586
273,51231.000
274,51240.000
275,51247.320
276,51259.980
277,51267.348
278,51280.961
279,51289.801
280,51295.379
281,51301.492
282,51306.809
283,51307.008
284,51309.473
285,51306.160
286,51301.508
287,51291.262
288,51280.453
289,51268.734
290,51254.465
291,51243.953
292,51236.500
293,51226.219
294,51225.012
295,51226.719
296,51228.434
297,51242.621
298,51258.125
299,51272.512
300,51297.586
301,51322.066
302,51347.715
303,51373.078
304,51401.539
305,51433.988
306,51458.801
307,51483.613
308,51523.234
309,51542.973
310,51565.508
311,51599.152
312,51618.691
313,51633.812
314,51672.168
315,51697.320
316,51710.738
317,51725.441
318,51745.586
319,51752.762
320,51762.340
321,51780.398
322,51793.234
323,51785.715
324,51787.480
325,51793.773
326,51785.641
327,51779.180
328,51789.773
329,51776.359
330,51759.273
331,51760.273
332,51752.172
333,51735.133
334,51734.840
335,51732.980
336,51724.801
337,51713.812
338,51711.309
339,51713.141
340,51705.566
341,51708.180
342,51717.059
343,51710.820
344,51703.652
345,51707.715
346,51703.387
347,51695.020
348,51693.738
349,51695.125
350,51687.328
351,51687.602
352,51695.965
353,51698.641
354,51700.312
355,51719.762
356,51730.215
357,51738.414
358,51747.488
359,51753.102
360,51752.953
361,51755.133
362,51758.953
363,51756.820
364,51737.180
365,51723.508
366,51712.785
367,51687.621
368,51675.633
369,51668.148
370,51643.887
371,51638.000
372,51642.672
373,51639.254
374,51648.086
375,51662.859
376,51679.426
377,51689.762
378,51705.887
379,51722.801
380,51736.340
381,51748.867
382,51763.781
383,51757.160
384,51754.707
385,51754.027
386,51743.578
387,51734.992
388,51731.734
389,51721.559
390,51718.398
391,51720.926
392,51718.961
393,51727.020
394,51741.180
395,51755.594
396,51764.922
397,51780.879
398,51797.227
399,51807.586
400,51817.398
401,51835.793
402,51835.500
403,51835.246
404,51842.055
405,51845.238
406,51837.961
407,51839.312
408,51842.227
409,51843.578
410,51840.066
411,51840.699
412,51846.066
413,51848.727
414,51851.309
415,51859.285
416,51865.285
417,51863.887
418,51877.574
