[micron],Mean
0,48933.188
1,48947.652
2,48975.195
3,49014.922
4,49038.391
5,49058.656
6,49079.578
7,49091.039
8,49074.828
9,49053.516
10,49058.551
11,49093.973
12,49108.621
13,49096.312
14,49061.477
15,48993.441
16,49014.148
17,48982.180
18,48985.508
19,48936.801
20,48979.465
21,48978.227
22,49015.445
23,48987.203
24,48995.051
25,48962.445
26,48927.105
27,48906.812
28,48898.699
29,48911.070
30,48926.016
31,48976.543
32,48977.277
33,48999.324
34,49007.160
35,49065.711
36,49056.062
37,49044.137
38,49013.523
39,49004.648
40,48988.238
41,48959.902
42,48872.711
43,48868.047
44,48817.371
45,48807.672
46,48775.492
47,48781.766
48,48755.035
49,48777.453
50,48808.316
51,48836.621
52,48875.531
53,48867.879
54,48948.430
55,48898.965
56,48892.777
57,48887.121
58,48897.047
59,48922.008
60,48884.660
61,48930.512
62,48956.719
63,48935.480
64,48847.098
65,48813.363
66,48832.191
67,48858.000
68,48875.027
69,48829.805
70,48832.934
71,48830.742
72,48854.688
73,48904.965
74,48988.535
75,49105.340
76,49170.695
77,49087.824
78,48999.281
79,48932.023
80,48821.207
81,48898.059
82,48900.430
83,49001.352
84,48923.562
85,48957.730
86,48997.535
87,49121.707
88,49191.477
89,49242.270
90,49192.020
91,49116.777
92,49112.117
93,49146.758
94,49240.402
95,49249.113
96,49212.301
97,49247.719
98,49196.355
99,49171.383
100,49107.074
101,49033.840
102,49041.918
103,48984.297
104,49061.340
105,49025.371
106,49079.801
107,49004.434
108,48962.715
109,48902.141
110,48834.090
111,48830.207
112,48808.188
113,48913.359
114,48941.523
115,48976.348
116,48934.344
117,48985.215
118,48950.277
119,48982.066
120,48947.027
121,48955.188
122,48891.152
123,48857.949
124,48849.090
125,48861.340
126,48911.457
127,48959.309
128,48991.402
129,48996.277
130,48949.688
131,48993.973
132,48973.180
133,49023.203
134,48974.516
135,48995.387
136,48968.969
137,49000.695
138,49146.859
139,49203.688
140,49193.594
141,49086.445
142,49114.930
143,49212.516
144,49314.809
145,49324.621
146,49303.422
147,49235.785
148,49222.992
149,49234.660
150,49307.609
151,49293.688
152,49255.594
153,49272.492
154,49315.203
155,49332.336
156,49327.520
157,49339.172
158,49313.469
